long,lat,parkname
-121.72694,45.68556,Lindsey Creek State Park - Cascade Locks
-118.824444,55.063611,O'Brien Provincial Park - Hwy 666; Grande Prairie County No. 1
-118.594444,55.923611,Dunvegan Provincial Park - Fairview No. 136
-118.252778,53.467222,Rock Lake Provincial Park - Yellowhead County
-117.8,53.5,William A Switzer - Hwy 40; Hinton
-117.140278,57.220556,Notikewin Provincial Park - Northern Lights No. 22
-117.097778,53.563056,Obed Lake Provincial Park - Hinton
-116.876944,53.638333,Sundance Provincial Park - Yellowhead County
-115.836389,52.089167,Ram Falls Provincial Park - Forestry Trunk Rd; Clearwater County
-115.64,54.302222,Carson-Pegasus Provincial Park - Woodlands County
-115.39,51.0925,Canmore Nordic Centre Provincial Park - 1988 Olympic Way; Canmore
-115.187778,50.699444,Peter Lougheed Provincial Park - AB-40; Kananaskis
-114.830049,55.436039,Lesser Slave Provincial Park - Slave Lake
-114.386944,51.251667,Big Hill Springs Provincial Park - Big Hill Springs Rd; Cochrane
-114.132222,52.366389,Jarvis Bay Provincial Park - Red Deer County
-114.117,49.444,Castle Provincial Park - Municipal District of Pincher Creek No. 9
-114.115,49.414167,Beauvais Lake Provincial Park - Pincher Creek
-114.0583,50.9217,Fish Creek Provincial Park - Calgary
-113.383889,53.560833,Strathcona Science Provincial Park - 8650 17 St NW; Strathcona County
-111.937,51.722,Antelope Hill Provincial Park - Hanna
-111.519167,54.809167,Lakeland Provincial Park - Lac La Biche County
-111.481547,50.759602,Dinosaur Provincial Park - Brooks
-110.931944,54.263889,Moose Lake Provincial Park - Bonnyville No. 87
-110.109444,54.471111,Cold Lake Provincial Park - Cherry Grove
-112.771111,54.443056,Long Lake Provincial Park - Range Rd 191A; Ellscott
-111.972778,54.831944,Sir Winston Churchill Provincial Park - Lac la Biche
-111.744722,54.1825,Garner Lake Provincial Park - Spedden
-110.080833,52.596389,Dillberry Lake Provincial Park - Township Rd 420; Chauvin
-112.210556,52.489722,Big Knife Provincial Park - Hwy 855; Forestburg
-113.9775,52.457778,Aspen Beach Provincial Park - Lacombe County
-110.759167,52.116944,Gooseberry Lake Provincial Park - Range Rd 62; Consort
-114.161111,53.035278,Pigeon Lake Provincial Park - Township Rd 470; Wetaskiwin County No. 10
